Ticket,Symbol,Type,OpenStep,OpenPrice,MaxDD,CloseStep,ClosePrice,Reward,Reason,Duration
1,EURUSD,s,365,                     0.82255,0.0,372,    0.82584,                  -33,SL        ,                   7
3,EURUSD,s,367,                     0.82549,0.0,373,    0.82879,                  -33,SL        ,                   6
2,EURUSD,s,366,                     0.82843,0.0,374,    0.83174,                  -33,SL        ,                   8
4,EURUSD,s,368,                     0.82843,0.0,374,    0.83174,                  -33,SL        ,                   6
7,EURUSD,s,373,                     0.82843,0.0,374,    0.83174,                  -33,SL        ,                   1
8,EURUSD,b,374,                     0.83431,0.0,375,    0.83097,                  -33,SL        ,                   1
9,EURUSD,s,375,                     0.82843,0.0,378,    0.83174,                  -33,SL        ,                   3
5,EURUSD,b,371,                     0.82843,0.0,379,    0.83505,                   66,PT        ,                   8
6,EURUSD,s,372,                     0.83137,0.0,379,    0.83469,                  -33,SL        ,                   7
10,EURUSD,s,377,                     0.83137,0.0,379,    0.83469,                  -33,SL        ,                   2
11,EURUSD,s,378,                     0.83431,0.0,379,    0.83765,                  -33,SL        ,                   1
12,EURUSD,b,379,                     0.83725,0.0,382,    0.83390,                  -33,SL        ,                   3
13,EURUSD,s,381,                     0.83431,0.0,382,    0.82763,                   67,PT        ,                   1
14,EURUSD,s,383,                     0.81668,0.0,385,    0.81014,                   65,PT        ,                   2
15,EURUSD,b,384,                     0.81374,0.0,385,    0.81049,                  -33,SL        ,                   1
16,EURUSD,s,386,                     0.80200,0.0,388,    0.80521,                  -32,SL        ,                   2
17,EURUSD,b,387,                     0.80787,0.0,388,    0.81433,                   65,PT        ,                   1
18,EURUSD,b,390,                     0.82255,0.0,392,    0.82913,                   66,PT        ,                   2
19,EURUSD,s,391,                     0.82843,0.0,392,    0.83174,                  -33,SL        ,                   1
20,EURUSD,s,392,                     0.84607,0.0,393,    0.83930,                   68,PT        ,                   1
22,EURUSD,s,394,                     0.84902,0.0,397,    0.84222,                   68,PT        ,                   3
26,EURUSD,b,399,                     0.84607,0.0,401,    0.84269,                  -34,SL        ,                   2
24,EURUSD,s,397,                     0.84313,0.0,403,    0.84650,                  -34,SL        ,                   6
