  TicketSymbol  Type    Open Step       Open Price      MaxDD   Close Step      Close Price     Reward  ReasonDuration  
(       1EURUSD  s                   1261    0.90211     0.0            1263    0.89489 72.17PT             2
)(       2EURUSD  s                   1262    0.89915     0.0            1263    0.89196 71.93PT             1
)(       3EURUSD  s                   1263    0.89324     0.0            1265    0.89682-35.73SL             2
)(       4EURUSD  s                   1264    0.89324     0.0            1265    0.89682-35.73SL             1
)(       5EURUSD  b                   1267    0.91985     0.0            1270    0.91617-36.79SL             3
)(       6EURUSD  s                   1268    0.92281     0.0            1270    0.91543 73.82PT             2
)(       7EURUSD  s                   1269    0.92577     0.0            1270    0.91837 74.06PT             1
)(      12EURUSD  b                   1275    0.91689     0.0            1276    0.91323-36.68SL             1
)(       8EURUSD  b                   1270    0.91098     0.0            1281    0.90733-36.44SL            11
)(       9EURUSD  s                   1271    0.91393     0.0            1281    0.90662 73.11PT            10
)(      10EURUSD  s                   1273    0.91393     0.0            1281    0.90662 73.11PT             8
)(      11EURUSD  s                   1274    0.91098     0.0            1281    0.90369 72.88PT             7
)(      13EURUSD  s                   1277    0.91098     0.0            1281    0.90369 72.88PT             4
)(      15EURUSD  b                   1280    0.91098     0.0            1281    0.90733-36.44SL             1
)(      14EURUSD  s                   1279    0.90802     0.0            1282    0.90076 72.64PT             3
)(      16EURUSD  s                   1282    0.89915     0.0            1283    0.90275-35.97SL             1
)(      17EURUSD  b                   1283    0.90802     0.0            1286    0.90439-36.32SL             3
)(      18EURUSD  b                   1286    0.90211     0.0            1288    0.89850-36.08SL             2
)(      20EURUSD  s                   1288    0.89620     0.0            1291    0.89978-35.85SL             3
)(      21EURUSD  b                   1289    0.90211     0.0            1298    0.89850-36.08SL             9
)(      22EURUSD  s                   1290    0.90211     0.0            1298    0.89489 72.17PT             8
)(      23EURUSD  s                   1292    0.90506     0.0            1298    0.89782 72.41PT             6
)(      24EURUSD  s                   1293    0.90211     0.0            1298    0.89489 72.17PT             5
)(      25EURUSD  s                   1294    0.90506     0.0            1298    0.89782 72.41PT             4
)(      26EURUSD  b                   1295    0.90211     0.0            1298    0.89850-36.08SL             3
)(      27EURUSD  s                   1297    0.90506     0.0            1298    0.89782 72.41PT             1
)(      19EURUSD  s                   1287    0.89915     0.0            1299    0.89196 71.93PT            12
)(      28EURUSD  s                   1298    0.89324     0.0            1300    0.89682-35.73SL             2
)(      29EURUSD  s                   1299    0.89915     0.0            1306    0.90275-35.97SL             7
)(      30EURUSD  b                   1302    0.89620     0.0            1306    0.90337 71.70PT             4
)(      31EURUSD  s                   1303    0.89915     0.0            1306    0.90275-35.97SL             3
)(      32EURUSD  s                   1304    0.90211     0.0            1308    0.90572-36.08SL             4
)(      33EURUSD  b                   1305    0.89915     0.0            1308    0.90634 71.93PT             3
)(      34EURUSD  s                   1306    0.90506     0.0            1308    0.90868-36.20SL             2
)(      35EURUSD  s                   1307    0.90802     0.0            1308    0.91165-36.32SL             1
)(      36EURUSD  s                   1308    0.91985     0.0            1311    0.92353-36.79SL             3
)(      37EURUSD  s                   1310    0.91985     0.0            1311    0.92353-36.79SL             1
)(      38EURUSD  s                   1311    0.92577     0.0            1313    0.92948-37.03SL             2
)(      39EURUSD  s                   1312    0.92577     0.0            1313    0.92948-37.03SL             1
)(      40EURUSD  b                   1313    0.93169     0.0            1314    0.92797-37.27SL             1
)(      41EURUSD  s                   1316    0.92577     0.0            1317    0.92948-37.03SL             1
)(      42EURUSD  s                   1317    0.93466     0.0            1319    0.93840-37.39SL             2
)(      43EURUSD  s                   1318    0.93169     0.0            1319    0.93542-37.27SL             1
)(      44EURUSD  s                   1320    0.94058     0.0            1322    0.93306 75.25PT             2
)(      45EURUSD  s                   1321    0.93466     0.0            1323    0.92718 74.77PT             2
)(      46EURUSD  s                   1322    0.93169     0.0            1323    0.92424 74.54PT             1
)(      47EURUSD  b                   1324    0.90802     0.0            1325    0.90439-36.32SL             1
)(      48EURUSD  b                   1325    0.90211     0.0            1330    0.89850-36.08SL             5
)(      49EURUSD  b                   1327    0.90802     0.0            1330    0.90439-36.32SL             3
)(      50EURUSD  s                   1332    0.87848     0.0            1334    0.87146 70.28PT             2
)(      51EURUSD  b                   1333    0.87554     0.0            1334    0.87203-35.02SL             1
)(      52EURUSD  b                   1335    0.86669     0.0            1336    0.86322-34.67SL             1
)(      53EURUSD  s                   1336    0.85196     0.0            1337    0.85537-34.08SL             1
)(      54EURUSD  s                   1337    0.86669     0.0            1340    0.87016-34.67SL             3
)(      55EURUSD  s                   1338    0.86669     0.0            1340    0.87016-34.67SL             2
)(      56EURUSD  s                   1339    0.87259     0.0            1341    0.87608-34.90SL             2
)(      57EURUSD  s                   1340    0.87848     0.0            1341    0.88200-35.14SL             1
)(      58EURUSD  s                   1341    0.88734     0.0            1342    0.88024 70.99PT             1
)(      59EURUSD  b                   1343    0.86669     0.0            1346    0.86322-34.67SL             3
)(      60EURUSD  b                   1344    0.86964     0.0            1346    0.86616-34.79SL             2
)(      61EURUSD  s                   1347    0.86080     0.0            1348    0.85391 68.86PT             1
)(      62EURUSD  s                   1348    0.85196     0.0            1350    0.85537-34.08SL             2
)(      63EURUSD  b                   1349    0.85196     0.0            1351    0.85878 68.16PT             2
)(      64EURUSD  b                   1353    0.89620     0.0            1356    0.90337 71.70PT             3
)(      65EURUSD  s                   1355    0.90211     0.0            1356    0.90572-36.08SL             1
)(      66EURUSD  b                   1356    0.91393     0.0            1358    0.92125 73.11PT             2
)(      67EURUSD  s                   1359    0.93466     0.0            1362    0.92718 74.77PT             3
)(      68EURUSD  b                   1360    0.93169     0.0            1362    0.92797-37.27SL             2
)(      69EURUSD  s                   1361    0.93466     0.0            1362    0.92718 74.77PT             1
)(      70EURUSD  s                   1362    0.92281     0.0            1363    0.92650-36.91SL             1
)(      71EURUSD  b                   1365    0.93466     0.0            1370    0.93092-37.39SL             5
)(      72EURUSD  s                   1366    0.93762     0.0            1370    0.93012 75.01PT             4
)(      73EURUSD  s                   1367    0.93762     0.0            1370    0.93012 75.01PT             3
)(      74EURUSD  s                   1369    0.93169     0.0            1371    0.92424 74.54PT             2
)(      75EURUSD  s                   1370    0.92577     0.0            1374    0.91837 74.06PT             4
)(      77EURUSD  s                   1372    0.92577     0.0            1374    0.91837 74.06PT             2
)(      76EURUSD  s                   1371    0.92281     0.0            1375    0.91543 73.82PT             4
)(      78EURUSD  b                   1373    0.91985     0.0            1375    0.91617-36.79SL             2
)(      79EURUSD  s                   1374    0.91985     0.0            1375    0.91249 73.59PT             1
)(      80EURUSD  s                   1375    0.91098     0.0            1378    0.90369 72.88PT             3
)(      85EURUSD  s                   1382    0.89915     0.0            1388    0.90275-35.97SL             6
)(      81EURUSD  s                   1378    0.90211     0.0            1389    0.90572-36.08SL            11
)(      82EURUSD  s                   1379    0.90211     0.0            1389    0.90572-36.08SL            10
)(      83EURUSD  s                   1380    0.90211     0.0            1389    0.90572-36.08SL             9
)(      84EURUSD  s                   1381    0.90506     0.0            1389    0.90868-36.20SL             8
)(      86EURUSD  s                   1385    0.90211     0.0            1389    0.90572-36.08SL             4
)(      87EURUSD  s                   1387    0.90506     0.0            1389    0.90868-36.20SL             2
)(      89EURUSD  b                   1390    0.91689     0.0            1395    0.91323-36.68SL             5
)(      92EURUSD  b                   1393    0.91689     0.0            1395    0.91323-36.68SL             2
)(      88EURUSD  s                   1389    0.91098     0.0            1398    0.91462-36.44SL             9
)(      93EURUSD  s                   1395    0.91098     0.0            1398    0.91462-36.44SL             3
)(      90EURUSD  s                   1391    0.91689     0.0            1402    0.90956 73.35PT            11
)(      94EURUSD  b                   1397    0.91689     0.0            1402    0.91323-36.68SL             5
)(      95EURUSD  s                   1400    0.91689     0.0            1402    0.90956 73.35PT             2
)(      96EURUSD  s                   1401    0.91689     0.0            1402    0.90956 73.35PT             1
)(      91EURUSD  s                   1392    0.91393     0.0            1404    0.90662 73.11PT            12
)(      97EURUSD  s                   1402    0.91393     0.0            1404    0.90662 73.11PT             2
)  TicketSymbol  Type    Open Step       Open Price      MaxDD   Close Step      Close Price     Reward  ReasonDuration  
