Ticket    ,Symbol  ,Type    ,Open Step       ,Open Price      ,MaxDD   ,Close Step      ,Close Price     ,Reward  ,Reason,Duration  
         1,EURUSD  ,s       ,            1037,    0.83725,     0.0,            1038,    0.83055, 66.98,PT    ,         1
         2,EURUSD  ,s       ,            1038,    0.83431,     0.0,            1039,    0.82763, 66.74,PT    ,         1
         3,EURUSD  ,s       ,            1039,    0.82549,     0.0,            1040,    0.81888, 66.04,PT    ,         1
         4,EURUSD  ,s       ,            1040,    0.81080,     0.0,            1044,    0.81405,-32.43,SL    ,         4
         5,EURUSD  ,b       ,            1043,    0.81374,     0.0,            1044,    0.82025, 65.10,PT    ,         1
         6,EURUSD  ,s       ,            1044,    0.83431,     0.0,            1045,    0.82763, 66.74,PT    ,         1
         7,EURUSD  ,s       ,            1045,    0.80787,     0.0,            1047,    0.81110,-32.31,SL    ,         2
         8,EURUSD  ,b       ,            1046,    0.81080,     0.0,            1047,    0.80756,-32.43,SL    ,         1
         9,EURUSD  ,s       ,            1047,    0.81668,     0.0,            1048,    0.81994,-32.67,SL    ,         1
        10,EURUSD  ,s       ,            1049,    0.83137,     0.0,            1052,    0.82472, 66.51,PT    ,         3
        11,EURUSD  ,s       ,            1050,    0.82549,     0.0,            1052,    0.81888, 66.04,PT    ,         2
        12,EURUSD  ,b       ,            1051,    0.82549,     0.0,            1052,    0.82219,-33.02,SL    ,         1
        13,EURUSD  ,s       ,            1053,    0.80787,     0.0,            1054,    0.81110,-32.31,SL    ,         1
        15,EURUSD  ,b       ,            1056,    0.83725,     0.0,            1057,    0.83390,-33.49,SL    ,         1
        14,EURUSD  ,s       ,            1055,    0.83137,     0.0,            1059,    0.83469,-33.25,SL    ,         4
        16,EURUSD  ,s       ,            1058,    0.83431,     0.0,            1060,    0.83765,-33.37,SL    ,         2
        17,EURUSD  ,b       ,            1059,    0.84019,     0.0,            1060,    0.84691, 67.22,PT    ,         1
        20,EURUSD  ,s       ,            1064,    0.86374,     0.0,            1065,    0.86720,-34.55,SL    ,         1
        18,EURUSD  ,b       ,            1062,    0.86374,     0.0,            1066,    0.87065, 69.10,PT    ,         4
        19,EURUSD  ,s       ,            1063,    0.86669,     0.0,            1066,    0.87016,-34.67,SL    ,         3
        22,EURUSD  ,s       ,            1066,    0.86964,     0.0,            1068,    0.87312,-34.79,SL    ,         2
        21,EURUSD  ,b       ,            1065,    0.86964,     0.0,            1069,    0.87659, 69.57,PT    ,         4
        23,EURUSD  ,s       ,            1068,    0.87848,     0.0,            1072,    0.88200,-35.14,SL    ,         4
        24,EURUSD  ,s       ,            1069,    0.88439,     0.0,            1073,    0.88792,-35.38,SL    ,         4
        25,EURUSD  ,s       ,            1070,    0.88143,     0.0,            1073,    0.88496,-35.26,SL    ,         3
        26,EURUSD  ,b       ,            1071,    0.88143,     0.0,            1073,    0.88849, 70.51,PT    ,         2
        27,EURUSD  ,s       ,            1073,    0.89324,     0.0,            1076,    0.88610, 71.46,PT    ,         3
        28,EURUSD  ,s       ,            1074,    0.89620,     0.0,            1076,    0.88903, 71.70,PT    ,         2
        29,EURUSD  ,s       ,            1075,    0.89029,     0.0,            1077,    0.89385,-35.61,SL    ,         2
        30,EURUSD  ,b       ,            1078,    0.89915,     0.0,            1079,    0.89555,-35.97,SL    ,         1
        31,EURUSD  ,s       ,            1079,    0.89324,     0.0,            1089,    0.89682,-35.73,SL    ,        10
        32,EURUSD  ,s       ,            1080,    0.89620,     0.0,            1089,    0.89978,-35.85,SL    ,         9
        33,EURUSD  ,b       ,            1081,    0.89324,     0.0,            1089,    0.90039, 71.46,PT    ,         8
        34,EURUSD  ,s       ,            1082,    0.89324,     0.0,            1089,    0.89682,-35.73,SL    ,         7
        35,EURUSD  ,s       ,            1083,    0.89620,     0.0,            1089,    0.89978,-35.85,SL    ,         6
        36,EURUSD  ,s       ,            1084,    0.89324,     0.0,            1089,    0.89682,-35.73,SL    ,         5
        37,EURUSD  ,s       ,            1086,    0.89620,     0.0,            1089,    0.89978,-35.85,SL    ,         3
        39,EURUSD  ,s       ,            1088,    0.89620,     0.0,            1089,    0.89978,-35.85,SL    ,         1
        38,EURUSD  ,s       ,            1087,    0.89915,     0.0,            1092,    0.90275,-35.97,SL    ,         5
        40,EURUSD  ,b       ,            1089,    0.90211,     0.0,            1094,    0.90933, 72.17,PT    ,         5
        41,EURUSD  ,s       ,            1092,    0.90802,     0.0,            1094,    0.91165,-36.32,SL    ,         2
        42,EURUSD  ,s       ,            1093,    0.91098,     0.0,            1097,    0.91462,-36.44,SL    ,         4
        43,EURUSD  ,s       ,            1094,    0.91393,     0.0,            1097,    0.91759,-36.56,SL    ,         3
        45,EURUSD  ,s       ,            1097,    0.92281,     0.0,            1101,    0.91543, 73.82,PT    ,         4
        46,EURUSD  ,s       ,            1098,    0.91985,     0.0,            1105,    0.91249, 73.59,PT    ,         7
        47,EURUSD  ,b       ,            1100,    0.91689,     0.0,            1105,    0.91323,-36.68,SL    ,         5
        49,EURUSD  ,b       ,            1103,    0.91689,     0.0,            1105,    0.91323,-36.68,SL    ,         2
        44,EURUSD  ,s       ,            1096,    0.91689,     0.0,            1107,    0.90956, 73.35,PT    ,        11
        48,EURUSD  ,b       ,            1101,    0.91393,     0.0,            1107,    0.91028,-36.56,SL    ,         6
        52,EURUSD  ,b       ,            1111,    0.91098,     0.0,            1112,    0.90733,-36.44,SL    ,         1
        53,EURUSD  ,s       ,            1112,    0.90211,     0.0,            1114,    0.90572,-36.08,SL    ,         2
        59,EURUSD  ,b       ,            1119,    0.91393,     0.0,            1121,    0.91028,-36.56,SL    ,         2
        56,EURUSD  ,s       ,            1115,    0.91393,     0.0,            1128,    0.90662, 73.11,PT    ,        13
        60,EURUSD  ,b       ,            1120,    0.91098,     0.0,            1128,    0.90733,-36.44,SL    ,         8
        63,EURUSD  ,b       ,            1125,    0.91098,     0.0,            1128,    0.90733,-36.44,SL    ,         3
        65,EURUSD  ,s       ,            1131,    0.91393,     0.0,            1132,    0.90662, 73.11,PT    ,         1
        71,EURUSD  ,b       ,            1141,    0.91098,     0.0,            1145,    0.90733,-36.44,SL    ,         4
        78,EURUSD  ,b       ,            1149,    0.91098,     0.0,            1152,    0.90733,-36.44,SL    ,         3
        55,EURUSD  ,s       ,            1114,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        39
        57,EURUSD  ,s       ,            1116,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        37
        58,EURUSD  ,s       ,            1117,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        36
        61,EURUSD  ,s       ,            1123,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        30
        62,EURUSD  ,s       ,            1124,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        29
        67,EURUSD  ,s       ,            1135,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        18
        68,EURUSD  ,b       ,            1136,    0.90802,     0.0,            1153,    0.90439,-36.32,SL    ,        17
        69,EURUSD  ,s       ,            1137,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        16
        70,EURUSD  ,s       ,            1138,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        15
        72,EURUSD  ,s       ,            1142,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        11
        73,EURUSD  ,s       ,            1143,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,        10
        75,EURUSD  ,s       ,            1146,    0.91098,     0.0,            1153,    0.90369, 72.88,PT    ,         7
        50,EURUSD  ,s       ,            1108,    0.90802,     0.0,            1165,    0.90076, 72.64,PT    ,        57
        51,EURUSD  ,b       ,            1109,    0.90506,     0.0,            1165,    0.90144,-36.20,SL    ,        56
        54,EURUSD  ,s       ,            1113,    0.90802,     0.0,            1165,    0.90076, 72.64,PT    ,        52
        64,EURUSD  ,b       ,            1129,    0.90506,     0.0,            1165,    0.90144,-36.20,SL    ,        36
        66,EURUSD  ,b       ,            1132,    0.90506,     0.0,            1165,    0.90144,-36.20,SL    ,        33
        74,EURUSD  ,s       ,            1145,    0.90802,     0.0,            1165,    0.90076, 72.64,PT    ,        20
        76,EURUSD  ,s       ,            1147,    0.90802,     0.0,            1165,    0.90076, 72.64,PT    ,        18
        77,EURUSD  ,s       ,            1148,    0.90802,     0.0,            1165,    0.90076, 72.64,PT    ,        17
        79,EURUSD  ,s       ,            1150,    0.90802,     0.0,            1165,    0.90076, 72.64,PT    ,        15
        80,EURUSD  ,s       ,            1151,    0.90802,     0.0,            1165,    0.90076, 72.64,PT    ,        14
        92,EURUSD  ,b       ,            1169,    0.90506,     0.0,            1174,    0.90144,-36.20,SL    ,         5
        93,EURUSD  ,s       ,            1171,    0.90802,     0.0,            1174,    0.90076, 72.64,PT    ,         3
        94,EURUSD  ,b       ,            1173,    0.90506,     0.0,            1174,    0.90144,-36.20,SL    ,         1
        81,EURUSD  ,s       ,            1154,    0.90211,     0.0,            1176,    0.90572,-36.08,SL    ,        22
        84,EURUSD  ,s       ,            1157,    0.90211,     0.0,            1176,    0.90572,-36.08,SL    ,        19
        88,EURUSD  ,s       ,            1165,    0.90211,     0.0,            1176,    0.90572,-36.08,SL    ,        11
        90,EURUSD  ,s       ,            1167,    0.90211,     0.0,            1176,    0.90572,-36.08,SL    ,         9
        91,EURUSD  ,s       ,            1168,    0.90211,     0.0,            1176,    0.90572,-36.08,SL    ,         8
        97,EURUSD  ,s       ,            1178,    0.91098,     0.0,            1180,    0.90369, 72.88,PT    ,         2
        82,EURUSD  ,s       ,            1155,    0.90506,     0.0,            1183,    0.90868,-36.20,SL    ,        28
        83,EURUSD  ,s       ,            1156,    0.90506,     0.0,            1183,    0.90868,-36.20,SL    ,        27
        85,EURUSD  ,s       ,            1158,    0.90506,     0.0,            1183,    0.90868,-36.20,SL    ,        25
        86,EURUSD  ,s       ,            1161,    0.90506,     0.0,            1183,    0.90868,-36.20,SL    ,        22
        87,EURUSD  ,s       ,            1163,    0.90506,     0.0,            1183,    0.90868,-36.20,SL    ,        20
        89,EURUSD  ,b       ,            1166,    0.90211,     0.0,            1183,    0.90933, 72.17,PT    ,        17
        98,EURUSD  ,s       ,            1180,    0.90506,     0.0,            1183,    0.90868,-36.20,SL    ,         3
        99,EURUSD  ,s       ,            1181,    0.91098,     0.0,            1184,    0.90369, 72.88,PT    ,         3
        95,EURUSD  ,s       ,            1176,    0.90802,     0.0,            1191,    0.90076, 72.64,PT    ,        15
        96,EURUSD  ,s       ,            1177,    0.90802,     0.0,            1191,    0.90076, 72.64,PT    ,        14
       100,EURUSD  ,s       ,            1185,    0.90802,     0.0,            1191,    0.90076, 72.64,PT    ,         6
       105,EURUSD  ,s       ,            1192,    0.89915,     0.0,            1194,    0.90275,-35.97,SL    ,         2
       101,EURUSD  ,s       ,            1186,    0.90211,     0.0,            1195,    0.90572,-36.08,SL    ,         9
       102,EURUSD  ,s       ,            1187,    0.90211,     0.0,            1195,    0.90572,-36.08,SL    ,         8
       104,EURUSD  ,s       ,            1191,    0.90211,     0.0,            1195,    0.90572,-36.08,SL    ,         4
       103,EURUSD  ,s       ,            1188,    0.90506,     0.0,            1200,    0.90868,-36.20,SL    ,        12
       106,EURUSD  ,s       ,            1193,    0.90506,     0.0,            1200,    0.90868,-36.20,SL    ,         7
       107,EURUSD  ,s       ,            1194,    0.90506,     0.0,            1200,    0.90868,-36.20,SL    ,         6
       108,EURUSD  ,b       ,            1196,    0.90802,     0.0,            1200,    0.91529, 72.64,PT    ,         4
       109,EURUSD  ,s       ,            1197,    0.90802,     0.0,            1200,    0.91165,-36.32,SL    ,         3
       110,EURUSD  ,s       ,            1199,    0.90802,     0.0,            1200,    0.91165,-36.32,SL    ,         1
       111,EURUSD  ,s       ,            1201,    0.91393,     0.0,            1205,    0.91759,-36.56,SL    ,         4
       114,EURUSD  ,s       ,            1207,    0.92577,     0.0,            1209,    0.91837, 74.06,PT    ,         2
       113,EURUSD  ,s       ,            1206,    0.92281,     0.0,            1210,    0.91543, 73.82,PT    ,         4
       115,EURUSD  ,b       ,            1208,    0.91985,     0.0,            1210,    0.91617,-36.79,SL    ,         2
       121,EURUSD  ,b       ,            1218,    0.92281,     0.0,            1219,    0.91912,-36.91,SL    ,         1
       119,EURUSD  ,s       ,            1216,    0.92281,     0.0,            1222,    0.91543, 73.82,PT    ,         6
       120,EURUSD  ,s       ,            1217,    0.92281,     0.0,            1222,    0.91543, 73.82,PT    ,         5
       112,EURUSD  ,s       ,            1205,    0.91985,     0.0,            1225,    0.91249, 73.59,PT    ,        20
       116,EURUSD  ,b       ,            1210,    0.91689,     0.0,            1225,    0.91323,-36.68,SL    ,        15
       117,EURUSD  ,b       ,            1211,    0.91689,     0.0,            1225,    0.91323,-36.68,SL    ,        14
       118,EURUSD  ,s       ,            1215,    0.91689,     0.0,            1228,    0.90956, 73.35,PT    ,        13
       122,EURUSD  ,s       ,            1219,    0.91689,     0.0,            1228,    0.90956, 73.35,PT    ,         9
       123,EURUSD  ,s       ,            1220,    0.91689,     0.0,            1228,    0.90956, 73.35,PT    ,         8
       125,EURUSD  ,s       ,            1223,    0.91689,     0.0,            1228,    0.90956, 73.35,PT    ,         5
       124,EURUSD  ,s       ,            1222,    0.91393,     0.0,            1235,    0.91759,-36.56,SL    ,        13
       126,EURUSD  ,s       ,            1224,    0.91393,     0.0,            1235,    0.91759,-36.56,SL    ,        11
       127,EURUSD  ,s       ,            1225,    0.91098,     0.0,            1235,    0.91462,-36.44,SL    ,        10
       128,EURUSD  ,s       ,            1226,    0.91098,     0.0,            1235,    0.91462,-36.44,SL    ,         9
       129,EURUSD  ,s       ,            1227,    0.91098,     0.0,            1235,    0.91462,-36.44,SL    ,         8
       130,EURUSD  ,s       ,            1229,    0.91098,     0.0,            1235,    0.91462,-36.44,SL    ,         6
       131,EURUSD  ,s       ,            1230,    0.91393,     0.0,            1235,    0.91759,-36.56,SL    ,         5
       134,EURUSD  ,s       ,            1235,    0.91393,     0.0,            1236,    0.91759,-36.56,SL    ,         1
       132,EURUSD  ,b       ,            1231,    0.91689,     0.0,            1237,    0.92423, 73.35,PT    ,         6
       133,EURUSD  ,s       ,            1232,    0.91689,     0.0,            1237,    0.92056,-36.68,SL    ,         5
       135,EURUSD  ,s       ,            1236,    0.92281,     0.0,            1237,    0.92650,-36.91,SL    ,         1
       136,EURUSD  ,s       ,            1237,    0.93169,     0.0,            1242,    0.93542,-37.27,SL    ,         5
       137,EURUSD  ,s       ,            1238,    0.93466,     0.0,            1242,    0.93840,-37.39,SL    ,         4
       138,EURUSD  ,b       ,            1242,    0.94651,     0.0,            1243,    0.94273,-37.86,SL    ,         1
       139,EURUSD  ,b       ,            1243,    0.93762,     0.0,            1245,    0.94512, 75.01,PT    ,         2
       140,EURUSD  ,b       ,            1244,    0.94355,     0.0,            1246,    0.93977,-37.74,SL    ,         2
