Ticket    ,Symbol  ,Type    ,Open Step       ,Open Price      ,MaxDD     ,Close Step      ,Close Price     ,Reward  ,Reason,Duration  
         1,EURUSD  ,s       ,             364,    0.82255,    0.00,             372,             0.82584,-32.90,SL    ,         8
         2,EURUSD  ,s       ,             365,    0.82255,    0.00,             372,             0.82584,-32.90,SL    ,         7
         4,EURUSD  ,s       ,             367,    0.82549,    0.00,             373,             0.82879,-33.02,SL    ,         6
         3,EURUSD  ,s       ,             366,    0.82843,    0.00,             374,             0.83174,-33.14,SL    ,         8
         5,EURUSD  ,b       ,             370,    0.82549,    0.00,             374,             0.83209, 66.04,PT    ,         4
         6,EURUSD  ,s       ,             371,    0.82843,    0.00,             374,             0.83174,-33.14,SL    ,         3
         7,EURUSD  ,s       ,             372,    0.83137,    0.00,             379,             0.83469,-33.25,SL    ,         7
         8,EURUSD  ,b       ,             373,    0.82843,    0.00,             379,             0.83505, 66.27,PT    ,         6
         9,EURUSD  ,s       ,             374,    0.83431,    0.00,             379,             0.83765,-33.37,SL    ,         5
        10,EURUSD  ,s       ,             376,    0.83137,    0.00,             379,             0.83469,-33.25,SL    ,         3
        11,EURUSD  ,s       ,             377,    0.83137,    0.00,             379,             0.83469,-33.25,SL    ,         2
        12,EURUSD  ,b       ,             378,    0.83431,    0.00,             382,             0.83097,-33.37,SL    ,         4
        13,EURUSD  ,s       ,             380,    0.83725,    0.00,             382,             0.83055, 66.98,PT    ,         2
        14,EURUSD  ,s       ,             382,    0.82549,    0.00,             383,             0.81888, 66.04,PT    ,         1
        15,EURUSD  ,b       ,             383,    0.81668,    0.00,             384,             0.81341,-32.67,SL    ,         1
        16,EURUSD  ,s       ,             385,    0.81080,    0.00,             386,             0.80432, 64.86,PT    ,         1
        17,EURUSD  ,b       ,             386,    0.80200,    0.00,             388,             0.80842, 64.16,PT    ,         2
        18,EURUSD  ,b       ,             389,    0.82255,    0.00,             392,             0.82913, 65.80,PT    ,         3
        19,EURUSD  ,s       ,             390,    0.82255,    0.00,             392,             0.82584,-32.90,SL    ,         2
        20,EURUSD  ,s       ,             391,    0.82843,    0.00,             392,             0.83174,-33.14,SL    ,         1
        21,EURUSD  ,b       ,             392,    0.84607,    0.00,             393,             0.84269,-33.84,SL    ,         1
        23,EURUSD  ,s       ,             395,    0.84902,    0.00,             397,             0.84222, 67.92,PT    ,         2
        26,EURUSD  ,b       ,             398,    0.84607,    0.00,             399,             0.84269,-33.84,SL    ,         1
        22,EURUSD  ,s       ,             393,    0.84313,    0.00,             403,             0.84650,-33.73,SL    ,        10
        25,EURUSD  ,s       ,             397,    0.84313,    0.00,             403,             0.84650,-33.73,SL    ,         6
        28,EURUSD  ,s       ,             401,    0.84313,    0.00,             403,             0.84650,-33.73,SL    ,         2
        24,EURUSD  ,s       ,             396,    0.84607,    0.00,             404,             0.84946,-33.84,SL    ,         8
        27,EURUSD  ,s       ,             400,    0.84607,    0.00,             404,             0.84946,-33.84,SL    ,         4
        29,EURUSD  ,s       ,             402,    0.84607,    0.00,             404,             0.84946,-33.84,SL    ,         2
        30,EURUSD  ,b       ,             405,    0.85491,    0.00,             406,             0.86175, 68.39,PT    ,         1
        31,EURUSD  ,s       ,             406,    0.86964,    0.00,             408,             0.86268, 69.57,PT    ,         2
        32,EURUSD  ,s       ,             407,    0.86964,    0.00,             408,             0.86268, 69.57,PT    ,         1
        34,EURUSD  ,s       ,             409,    0.86080,    0.00,             411,             0.85391, 68.86,PT    ,         2
        33,EURUSD  ,b       ,             408,    0.85491,    0.00,             416,             0.85149,-34.20,SL    ,         8
        35,EURUSD  ,s       ,             410,    0.85785,    0.00,             416,             0.85099, 68.63,PT    ,         6
        36,EURUSD  ,s       ,             411,    0.85491,    0.00,             416,             0.84807, 68.39,PT    ,         5
        37,EURUSD  ,s       ,             413,    0.85785,    0.00,             416,             0.85099, 68.63,PT    ,         3
        38,EURUSD  ,s       ,             414,    0.85785,    0.00,             416,             0.85099, 68.63,PT    ,         2
        39,EURUSD  ,s       ,             415,    0.85785,    0.00,             416,             0.85099, 68.63,PT    ,         1
        40,EURUSD  ,b       ,             416,    0.84902,    0.00,             425,             0.84562,-33.96,SL    ,         9
        41,EURUSD  ,s       ,             419,    0.85196,    0.00,             425,             0.84514, 68.16,PT    ,         6
        42,EURUSD  ,s       ,             420,    0.85491,    0.00,             425,             0.84807, 68.39,PT    ,         5
        43,EURUSD  ,s       ,             421,    0.85491,    0.00,             425,             0.84807, 68.39,PT    ,         4
        44,EURUSD  ,s       ,             423,    0.84902,    0.00,             428,             0.84222, 67.92,PT    ,         5
        45,EURUSD  ,s       ,             424,    0.84902,    0.00,             428,             0.84222, 67.92,PT    ,         4
        46,EURUSD  ,s       ,             425,    0.84902,    0.00,             428,             0.84222, 67.92,PT    ,         3
        47,EURUSD  ,b       ,             427,    0.84902,    0.00,             428,             0.84562,-33.96,SL    ,         1
        49,EURUSD  ,b       ,             430,    0.84607,    0.00,             432,             0.84269,-33.84,SL    ,         2
        48,EURUSD  ,b       ,             428,    0.84019,    0.00,             433,             0.83683,-33.61,SL    ,         5
        50,EURUSD  ,s       ,             435,    0.83725,    0.00,             437,             0.84060,-33.49,SL    ,         2
        51,EURUSD  ,b       ,             436,    0.84313,    0.00,             441,             0.84988, 67.45,PT    ,         5
        52,EURUSD  ,b       ,             438,    0.84607,    0.00,             441,             0.85284, 67.69,PT    ,         3
        53,EURUSD  ,s       ,             439,    0.84902,    0.00,             441,             0.85241,-33.96,SL    ,         2
        54,EURUSD  ,s       ,             440,    0.85196,    0.00,             441,             0.85537,-34.08,SL    ,         1
        57,EURUSD  ,s       ,             443,    0.85196,    0.00,             444,             0.85537,-34.08,SL    ,         1
        58,EURUSD  ,s       ,             444,    0.86080,    0.00,             445,             0.85391, 68.86,PT    ,         1
        55,EURUSD  ,s       ,             441,    0.85491,    0.00,             446,             0.85833,-34.20,SL    ,         5
        56,EURUSD  ,s       ,             442,    0.85785,    0.00,             448,             0.85099, 68.63,PT    ,         6
        59,EURUSD  ,b       ,             446,    0.85491,    0.00,             448,             0.85149,-34.20,SL    ,         2
        60,EURUSD  ,b       ,             447,    0.85491,    0.00,             448,             0.85149,-34.20,SL    ,         1
        61,EURUSD  ,s       ,             450,    0.82255,    0.00,             451,             0.82584,-32.90,SL    ,         1
        63,EURUSD  ,b       ,             452,    0.81961,    0.00,             453,             0.81633,-32.78,SL    ,         1
        62,EURUSD  ,s       ,             451,    0.81668,    0.00,             454,             0.81014, 65.33,PT    ,         3
        64,EURUSD  ,b       ,             456,    0.80200,    0.00,             457,             0.80842, 64.16,PT    ,         1
        65,EURUSD  ,s       ,             458,    0.82549,    0.00,             460,             0.81888, 66.04,PT    ,         2
        66,EURUSD  ,b       ,             459,    0.82255,    0.00,             460,             0.81926,-32.90,SL    ,         1
        67,EURUSD  ,s       ,             462,    0.80200,    0.00,             464,             0.80521,-32.08,SL    ,         2
        68,EURUSD  ,b       ,             463,    0.80200,    0.00,             465,             0.80842, 64.16,PT    ,         2
        69,EURUSD  ,s       ,             464,    0.81080,    0.00,             465,             0.80432, 64.86,PT    ,         1
        70,EURUSD  ,s       ,             465,    0.80494,    0.00,             466,             0.80816,-32.20,SL    ,         1
        71,EURUSD  ,b       ,             468,    0.80787,    0.00,             470,             0.81433, 64.63,PT    ,         2
        72,EURUSD  ,s       ,             469,    0.81374,    0.00,             470,             0.81700,-32.55,SL    ,         1
        73,EURUSD  ,s       ,             470,    0.82549,    0.00,             472,             0.81888, 66.04,PT    ,         2
        74,EURUSD  ,s       ,             472,    0.82549,    0.00,             473,             0.81888, 66.04,PT    ,         1
        75,EURUSD  ,s       ,             473,    0.81961,    0.00,             476,             0.82289,-32.78,SL    ,         3
        76,EURUSD  ,s       ,             474,    0.82255,    0.00,             477,             0.81597, 65.80,PT    ,         3
        77,EURUSD  ,s       ,             475,    0.82255,    0.00,             477,             0.81597, 65.80,PT    ,         2
        79,EURUSD  ,s       ,             477,    0.81374,    0.00,             478,             0.81700,-32.55,SL    ,         1
        78,EURUSD  ,b       ,             476,    0.81668,    0.00,             481,             0.81341,-32.67,SL    ,         5
        80,EURUSD  ,s       ,             478,    0.82549,    0.00,             481,             0.81888, 66.04,PT    ,         3
        81,EURUSD  ,s       ,             481,    0.80494,    0.00,             483,             0.80816,-32.20,SL    ,         2
        82,EURUSD  ,s       ,             482,    0.80494,    0.00,             483,             0.80816,-32.20,SL    ,         1
        83,EURUSD  ,s       ,             483,    0.80787,    0.00,             485,             0.80141, 64.63,PT    ,         2
        84,EURUSD  ,s       ,             484,    0.80200,    0.00,             485,             0.80521,-32.08,SL    ,         1
        85,EURUSD  ,s       ,             485,    0.81080,    0.00,             487,             0.80432, 64.86,PT    ,         2
        86,EURUSD  ,s       ,             488,    0.80200,    0.00,             494,             0.80521,-32.08,SL    ,         6
        89,EURUSD  ,b       ,             493,    0.80787,    0.00,             495,             0.80464,-32.31,SL    ,         2
        90,EURUSD  ,s       ,             494,    0.80787,    0.00,             496,             0.80141, 64.63,PT    ,         2
        91,EURUSD  ,s       ,             495,    0.80200,    0.00,             499,             0.80521,-32.08,SL    ,         4
        92,EURUSD  ,b       ,             496,    0.79907,    0.00,             499,             0.80546, 63.93,PT    ,         3
        87,EURUSD  ,s       ,             490,    0.80494,    0.00,             500,             0.80816,-32.20,SL    ,        10
        88,EURUSD  ,s       ,             492,    0.80494,    0.00,             500,             0.80816,-32.20,SL    ,         8
        93,EURUSD  ,s       ,             498,    0.80494,    0.00,             500,             0.80816,-32.20,SL    ,         2
        94,EURUSD  ,b       ,             500,    0.81080,    0.00,             502,             0.80756,-32.43,SL    ,         2
        95,EURUSD  ,s       ,             503,    0.80787,    0.00,             505,             0.80141, 64.63,PT    ,         2
        96,EURUSD  ,s       ,             504,    0.80787,    0.00,             505,             0.80141, 64.63,PT    ,         1
        99,EURUSD  ,s       ,             508,    0.80200,    0.00,             510,             0.79559, 64.16,PT    ,         2
        97,EURUSD  ,s       ,             505,    0.79907,    0.00,             511,             0.79268, 63.93,PT    ,         6
        98,EURUSD  ,s       ,             507,    0.79907,    0.00,             511,             0.79268, 63.93,PT    ,         4
       100,EURUSD  ,s       ,             512,    0.79321,    0.00,             514,             0.79638,-31.73,SL    ,         2
       101,EURUSD  ,s       ,             513,    0.79614,    0.00,             516,             0.79932,-31.85,SL    ,         3
       102,EURUSD  ,s       ,             514,    0.80200,    0.00,             523,             0.80521,-32.08,SL    ,         9
       103,EURUSD  ,s       ,             515,    0.80200,    0.00,             523,             0.80521,-32.08,SL    ,         8
       105,EURUSD  ,s       ,             519,    0.80200,    0.00,             523,             0.80521,-32.08,SL    ,         4
       104,EURUSD  ,s       ,             518,    0.80494,    0.00,             525,             0.80816,-32.20,SL    ,         7
       106,EURUSD  ,s       ,             520,    0.80494,    0.00,             525,             0.80816,-32.20,SL    ,         5
       107,EURUSD  ,s       ,             521,    0.80494,    0.00,             525,             0.80816,-32.20,SL    ,         4
       108,EURUSD  ,b       ,             523,    0.81080,    0.00,             532,             0.80756,-32.43,SL    ,         9
       111,EURUSD  ,s       ,             528,    0.81374,    0.00,             532,             0.80723, 65.10,PT    ,         4
       109,EURUSD  ,s       ,             524,    0.81080,    0.00,             535,             0.80432, 64.86,PT    ,        11
       110,EURUSD  ,s       ,             526,    0.81080,    0.00,             535,             0.80432, 64.86,PT    ,         9
       112,EURUSD  ,s       ,             532,    0.80494,    0.00,             548,             0.79850, 64.39,PT    ,        16
       113,EURUSD  ,s       ,             533,    0.80494,    0.00,             548,             0.79850, 64.39,PT    ,        15
       114,EURUSD  ,s       ,             534,    0.80494,    0.00,             548,             0.79850, 64.39,PT    ,        14
       115,EURUSD  ,b       ,             535,    0.80200,    0.00,             548,             0.79880,-32.08,SL    ,        13
       116,EURUSD  ,b       ,             537,    0.80200,    0.00,             548,             0.79880,-32.08,SL    ,        11
       117,EURUSD  ,b       ,             538,    0.79907,    0.00,             548,             0.79587,-31.96,SL    ,        10
       118,EURUSD  ,s       ,             542,    0.80200,    0.00,             548,             0.79559, 64.16,PT    ,         6
       119,EURUSD  ,s       ,             543,    0.80200,    0.00,             548,             0.79559, 64.16,PT    ,         5
       120,EURUSD  ,s       ,             544,    0.80200,    0.00,             548,             0.79559, 64.16,PT    ,         4
       121,EURUSD  ,b       ,             545,    0.80200,    0.00,             548,             0.79880,-32.08,SL    ,         3
       122,EURUSD  ,s       ,             546,    0.80200,    0.00,             548,             0.79559, 64.16,PT    ,         2
       123,EURUSD  ,s       ,             547,    0.79907,    0.00,             552,             0.80227,-31.96,SL    ,         5
       124,EURUSD  ,s       ,             549,    0.79321,    0.00,             552,             0.79638,-31.73,SL    ,         3
       125,EURUSD  ,s       ,             550,    0.79321,    0.00,             552,             0.79638,-31.73,SL    ,         2
       126,EURUSD  ,s       ,             551,    0.79321,    0.00,             552,             0.79638,-31.73,SL    ,         1
       127,EURUSD  ,s       ,             552,    0.80787,    0.00,             553,             0.80141, 64.63,PT    ,         1
       128,EURUSD  ,s       ,             553,    0.79614,    0.00,             554,             0.79932,-31.85,SL    ,         1
       131,EURUSD  ,s       ,             557,    0.79321,    0.00,             558,             0.79638,-31.73,SL    ,         1
       129,EURUSD  ,s       ,             554,    0.79614,    0.00,             561,             0.79932,-31.85,SL    ,         7
       130,EURUSD  ,s       ,             556,    0.79907,    0.00,             561,             0.80227,-31.96,SL    ,         5
