tranactions_id,currency_pair,direction,open_step       ,open_price      ,maxDD     ,close_step      ,close_price     ,pips    ,close_reason,duration  
         4,EURUSD  ,s       ,              79,    0.75223,    0.00,              82,    0.75524,-30.09,SL    ,         3
         1,EURUSD  ,s       ,              76,    0.75515,    0.00,              85,    0.75818,-30.21,SL    ,         9
         2,EURUSD  ,s       ,              77,    0.75515,    0.00,              85,    0.75818,-30.21,SL    ,         8
         3,EURUSD  ,s       ,              78,    0.75515,    0.00,              85,    0.75818,-30.21,SL    ,         7
         5,EURUSD  ,b       ,              81,    0.75808,    0.00,              87,    0.76414, 60.65,PT    ,         6
         6,EURUSD  ,s       ,              82,    0.75808,    0.00,              87,    0.76111,-30.32,SL    ,         5
         7,EURUSD  ,s       ,              86,    0.76100,    0.00,              87,    0.76405,-30.44,SL    ,         1
         9,EURUSD  ,s       ,              89,    0.76978,    0.00,              91,    0.77286,-30.79,SL    ,         2
         8,EURUSD  ,b       ,              88,    0.76978,    0.00,              92,    0.77594, 61.58,PT    ,         4
        10,EURUSD  ,s       ,              90,    0.77270,    0.00,              92,    0.77579,-30.91,SL    ,         2
        11,EURUSD  ,s       ,              91,    0.77856,    0.00,              93,    0.78167,-31.14,SL    ,         2
        12,EURUSD  ,s       ,              93,    0.78734,    0.00,              94,    0.79049,-31.49,SL    ,         1
        14,EURUSD  ,b       ,              95,    0.79614,    0.00,              96,    0.79295,-31.85,SL    ,         1
        13,EURUSD  ,s       ,              94,    0.79614,    0.00,              97,    0.78977, 63.69,PT    ,         3
        16,EURUSD  ,b       ,              97,    0.79028,    0.00,             100,    0.78712,-31.61,SL    ,         3
        15,EURUSD  ,s       ,              96,    0.79028,    0.00,             102,    0.79344,-31.61,SL    ,         6
        17,EURUSD  ,s       ,              98,    0.79028,    0.00,             102,    0.79344,-31.61,SL    ,         4
        18,EURUSD  ,s       ,              99,    0.79028,    0.00,             102,    0.79344,-31.61,SL    ,         3
        19,EURUSD  ,s       ,             101,    0.78734,    0.00,             102,    0.79049,-31.49,SL    ,         1
        20,EURUSD  ,s       ,             102,    0.79907,    0.00,             103,    0.80227,-31.96,SL    ,         1
        21,EURUSD  ,s       ,             103,    0.80494,    0.00,             107,    0.79850, 64.39,PT    ,         4
        22,EURUSD  ,s       ,             105,    0.80494,    0.00,             107,    0.79850, 64.39,PT    ,         2
        23,EURUSD  ,s       ,             106,    0.79907,    0.00,             110,    0.80227,-31.96,SL    ,         4
        24,EURUSD  ,s       ,             107,    0.79907,    0.00,             110,    0.80227,-31.96,SL    ,         3
        25,EURUSD  ,s       ,             108,    0.79907,    0.00,             110,    0.80227,-31.96,SL    ,         2
        26,EURUSD  ,s       ,             109,    0.80494,    0.00,             112,    0.80816,-32.20,SL    ,         3
        28,EURUSD  ,s       ,             112,    0.81668,    0.00,             115,    0.81014, 65.33,PT    ,         3
        27,EURUSD  ,s       ,             111,    0.81080,    0.00,             119,    0.81405,-32.43,SL    ,         8
